# MPA Run	Telescope Run	Angle (°)	Bias Volt (V)	Bias Cur (μA)	Threshold	MPA Trigger	Telescope  Trigger	Comments	Converted	Data Offset	Correlation	Comments	
28	133	0	110		110	750812	750809	Distance to REF = 35mm	Yes	0	Yes		
769	1602	0	110		110	750812	750809	Distance to REF = 35mm	Yes	0	Yes		
29	146	0	110		110	750812	100504		Yes	-1	Yes		
30	147	0	110		110	100720	100718		Yes	-1	Yes		
31	148	0	110		110	100452	100453		Yes	-1	Yes		
33	233	0	110 / 130		110	600704	600701		Yes	-1	Yes		
40	235	0	130		110	600549	600553	Autopilot start	 removed 'finally' from daq_continuous	0	0	Yes	
41	236	0	130		110	600544	600548		Yes	0	Yes		
42	237	0	130		110	600519	600523		Yes	0	Yes		
43	238	0	130		110	600557	600561		Yes	0	Yes		
44	239	0	130		110	600555	600559		Yes	0	Yes		
45	240	0	130		110	600590	600594		Yes	0	Yes		
53	296	0	110	2	110	100446	100447	We moved the sample by 2mm (upwards)	Yes	-1	Yes		
54	324	0	150	5	110	100831	100832	And back again since our sample is approx. 1mm longer than the REF	No	1	N/A		
55	325	0	150	5	110	103140	103156	Can't decode tracks from telescope for this and previous run	No	1	N/A		
57	326	0	150	5	110	50821	50822	Aligned	Yes	1	Yes		
61	356	0	110	10	110	500547	500552		Yes	1	Yes		
62	357	0	110	9	110	500540	500554		Yes	0	Yes		
63	358	0	110	9	110	500555	500559		Yes	0	Yes		
64	359	0	110	8	110	500587	500591		Yes	0	Yes		
65	361	0	110	7	110	499946	499944		Yes	0	Yes		
66	362	0	90	5	110	484898	484870		Yes	0	Yes		
69	364	0	90	5	110	500558	502781		Yes	0	Yes		
71	365	0	90	4	110	318476	750548		Yes	0	Yes		
73	367	0	90	4	110	750517	750521		Yes	0	Yes		
74	370	0	90	3	110	500752	500753	Tested offset from -10 to 10	Yes	1	No		
75	372	0	90	4	110	500806	500807		Yes	0	Yes		
76	374	0	90	4	110	500921	500922		Yes	0	Yes		
77	375	0	90	4	110	545437	500136	Run includes telescope run 376. Forgot to stop run after 500 kTriggers. 	Yes	1	Yes		
78	377	0	90	4	110	500754	500755		Yes	0	Yes		
79	379	0	110	7	70	500727	500729		Yes	1	Yes		
80	383	0	0	7	70	68658	518483	See bias -.- + RunControl crash. File corrupted	No		No		
81	384	0	110	5	70	500754	500756		Yes	1	Yes		
82	385	0	110	7	70	500639	500614		Yes	1	Yes		
83	386	0	110	7	70	500740	500742		Yes	1	Yes		
84	388	0	110	7	70	500568	500572		Yes	-4	Better check	Noisy af	
85	389	0	110	7	70	500489	500493		Yes	0	Better check		
86	390	0	110	7	70	500523	500527		Yes	0	Yes		
87	391	0	110	7	70	500472	500476		Yes	0	Yes		
88	392	0	130	10	70	500402	500406		Yes	-5	Yes		
91	394	0	130	10	70	500590	500595		Yes	1	Yes		
92	395	0	130	11	70	500626	500630		Yes	0	Yes		
93	396	0	130	10	70	500577	500581		Yes	0	Yes		
94	397	0	130	10	70	500555	500559		Yes	0	Yes		
95	398	0	130	10	70	228730	228731		Yes	0	Yes		
96	399	0	130	10	70	500457	500459	At least 2 events mismatch (2 shutter at the beginning)	Yes	2	Yes		
97	400	0	130	10	70	499553	499553		Yes	-10	Yes		
102	441	0	110	5.4	90	500556	500561		Yes	-1	Yes		
103	442	0	110	5.4	90	500020	500021		Yes	0	Yes		
105	461	0	110	5.4	90	500511			Yes				
106	462	0	110	5.4	90	500555		Event building stopped at roughly 400 kTriggers	Yes				
109	464	0	110	5.4	90	500622			Yes				
110	465	0	110	5	90			Event building stopped at roughly 67 kTriggers	Yes				
111	466	0	110	5	90					1		112	467
0	110	5	90						1	1			
113	468	0	110	5	90								
114	470	0	130	9.3	90					1			
117	473	0	130	10.5	90					1			
119	475	0	130	8.7	90					-1			
120	476	0	130	8.2	90								
121	477	0	130	8.2	90		85000						
122	478	0	130	8.7	90					1			
125	481	0	130	8.7	90					1			
128	483	0	130	8.7	90			event building crashed after 104466 triggers		1			
130	485	0	130	8.1	90								
131	486	0	130	8.1	90								
