# MPA Run	Telescope Run	Angle (°)	Bias Volt (V)	Bias Cur (μA)	Threshold	MPA Trigger	Telescope  Trigger	Comments	Converted	Data Offset	Correlation	Comments	
769	1602	0	0	0	0	0		750809	m	Yes	0	Yes		
770	1604	0	0	0	0	0		750809	m	Yes	0	Yes
727	1525	0	0	0	114	0		750809	m	Yes	0	Yes
728	1526	0	0	0	112	0		750809	m	Yes	0	Yes
729	1527	0	0	0	110	0		750809	m	Yes	0	Yes
730	1528	0	0	0	108	0		750809	m	Yes	0	Yes
731	1529	0	0	0	106	0		750809	m	Yes	0	Yes
732	1530	0	0	0	104	0		750809	m	Yes	0	Yes
733	1532	0	0	0	102	0		750809	m	Yes	0	Yes
734	1533	0	0	0	100	0		750809	m	Yes	0	Yes
735	1534	0	0	0	98	0		750809	m	Yes	0	Yes
736	1536	0	0	0	96	0		750809	m	Yes	0	Yes
737	1537	0	0	0	94	0		750809	m	Yes	0	Yes
738	1538	0	0	0	90	0		750809	m	Yes	0	Yes
739	1562	0	0	0	82	0		750809	m	Yes	0	Yes
740	1563	0	0	0	78	0		750809	m	Yes	0	Yes
741	1564	0	0	0	70	0		750809	m	Yes	0	Yes
742	1566	0	0	0	52	0		750809	m	Yes	0	Yes
743	1569	0	0	0	74	0		750809	m	Yes	0	Yes
926	193	0	0	0	0	0		750809	m	Yes	0	Yes
870	115	0	0	0	106	0		750809	m	Yes	0	Yes
